title,link,page,Month,Year,Date,Is_readily_available
COMMERCIAL VEHICLE GUIDELINES,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/12.2022_CommercialVehicleGuidelines_GE.pdf?utm_campaign=2019%20VS%20Guidelines&utm_medium=email&_hsmi=238156073&_hsenc=p2ANqtz-_kA-H5-_lG_zdimP4K7Mnw9kS-YdLS1v9EMPBciDjTJ5a1hlU8_u56YrN8MvKQqqPePK4aw659wQKa7Mzj57nNYqh78YJ8SoyAgh34fr56zNCzgQQ&utm_content=238156073&utm_source=hs_email,3.0,Dec,2022,2022-12-01,1
COMMERCIAL VEHICLE GUIDELINES,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/09.2022_CommercialVehicleGuidelines.pdf,3.0,Sep,2022,2022-09-01,0
COMMERCIAL VEHICLE GUIDELINES,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/01.2018_Commercial%20Truck_Guidelines.pdf,3.0,Jan,2018,2018-01-01,0
COMMERCIAL VEHICLE GUIDELINES,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/02.2022_CommercialVehicleGuidelines_FINAL.pdf,3.0,Feb,2022,2022-02-01,1
COMMERCIAL VEHICLE GUIDELINES,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/03.2023_CommercialVehicleGuidelines.pdf,3.0,Mar,2023,2023-03-01,1
COMMERCIAL VEHICLE GUIDELINES,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/03.2022_CommercialVehicleGuidelines_FINAL.pdf,3.0,Mar,2022,2022-03-01,1
COMMERCIAL VEHICLE GUIDELINES,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/07.2022_CommercialVehicleGuidelines_Final.pdf,4.0,Jul,2022,2022-07-01,0
COMMERCIAL VEHICLE GUIDELINES,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/08.2022_CommercialVehicleGuidelines.pdf,4.0,Aug,2022,2022-08-01,0
,https://www.jdpowervalues.com/article/september-2022-commercial-truck-guidelines,,September,2022,2022-09-01,0
,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/August_2022_Guidelines.pdf,,July,2022,2022-07-01,0
,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/08.2022_CommercialVehicleGuidelines.pdf,,August,2022,2022-08-01,0
,https://www.jdpowervalues.com/article/class-8-pricing-still-sky-high-risks-intensify,,March,2022,2022-03-01,1
,https://www.jdpowervalues.com/article/early-february-auctions-suggest-increase-number-available-late-model-trucks,,February,2022,2022-02-01,1
,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/01.2022_Commercial%20Truck%20Guidelines.pdf,,January,2022,2022-01-01,1
,https://cts.businesswire.com/ct/CT?id=smartlink&url=https%3A%2F%2Fdiscover.jdpa.com%2Fhubfs%2FFiles%2FIndustry%2520Campaigns%2FValuation%2520Services%2F11.2021_Commercial%2520Truck%2520Guidelines.pdf&esheet=52535508&newsitemid=20211122005179&lan=en-US&anchor=Download+the+free+November+2021+Commercial+Truck+Guidelines+Industry+Update&index=3&md5=36ab506cfaf88d1690474e5410207909,,November,2021,2021-11-01,0
,https://cts.businesswire.com/ct/CT?id=smartlink&url=https%3A%2F%2Fdiscover.jdpa.com%2Fhubfs%2FFiles%2FIndustry%2520Campaigns%2FValuation%2520Services%2F10.2021_Commercial%2520Truck%2520Guidelines.pdf&esheet=52513887&newsitemid=20211022005121&lan=en-US&anchor=Download+the+free+September+2021+Commercial+Truck+Guidelines+Industry+Update&index=3&md5=2228572ff53d6fd11998588f421fd73b,,October,2021,2021-10-01,0
,https://cts.businesswire.com/ct/CT?id=smartlink&url=https%3A%2F%2Fdiscover.jdpa.com%2Fhubfs%2FFiles%2FIndustry%2520Campaigns%2FValuation%2520Services%2F09.2021_Commercial%2520Truck%2520Guidelines.pdf&esheet=52494368&newsitemid=20210920005760&lan=en-US&anchor=Download+the+free+September+2021+Commercial+Truck+Guidelines+Industry+Update&index=3&md5=1732728ec4cf3d31060f2e5014446d65,,September,2021,2021-09-01,1
,https://cts.businesswire.com/ct/CT?id=smartlink&url=https%3A%2F%2Fdiscover.jdpa.com%2Fhubfs%2FFiles%2FIndustry%2520Campaigns%2FValuation%2520Services%2F08.2021_Commercial%2520Truck%2520Guidelines.pdf&esheet=52478650&newsitemid=20210818005269&lan=en-US&anchor=free+monthly+report&index=2&md5=19370100cd3c6263494fd0653e30a8b5,,August,2021,2021-08-01,0
,https://cts.businesswire.com/ct/CT?id=smartlink&url=https%3A%2F%2Fdiscover.jdpa.com%2Fhubfs%2FFiles%2FIndustry%2520Campaigns%2FValuation%2520Services%2F07.2021_Commercial%2520Truck%2520Guidelines.pdf&esheet=52461504&newsitemid=20210716005429&lan=en-US&anchor=Download+the+free+July+2021+Commercial+Truck+Guidelines+Industry+Update&index=3&md5=b937806b29087643f7f9ad2488ef9726,,July,2021,2021-07-01,0
,https://cts.businesswire.com/ct/CT?id=smartlink&url=https%3A%2F%2Fdiscover.jdpa.com%2Fhubfs%2FFiles%2FIndustry%2520Campaigns%2FValuation%2520Services%2F05.2021_Commercial%2520Truck%2520Guidelines.pdf&esheet=52431899&newsitemid=20210519005136&lan=en-US&anchor=Download+the+free+May+2021+Commercial+Truck+Guidelines+Industry+Update&index=3&md5=f845785630eee429430605011f8dd40e,,May,2021,2021-05-01,0
,https://cts.businesswire.com/ct/CT?id=smartlink&url=https%3A%2F%2Fdiscover.jdpa.com%2Fhubfs%2FFiles%2FIndustry%2520Campaigns%2FValuation%2520Services%2F04.2021_Commercial%2520Truck%2520Guidelines.pdf&esheet=52413430&newsitemid=20210416005556&lan=en-US&anchor=April+2021+Commercial+Truck+Guidelines+Industry+Update&index=1&md5=5715fb776dd24b82ca6ad6f324c0dec9,,April,2021,2021-04-01,0
,https://cts.businesswire.com/ct/CT?id=smartlink&url=https%3A%2F%2Fdiscover.jdpa.com%2Fhubfs%2FFiles%2FIndustry%2520Campaigns%2FValuation%2520Services%2F03.2021_Commercial%2520Truck%2520Guidelines.pdf&esheet=52397789&newsitemid=20210318005144&lan=en-US&anchor=March+2021+Commercial+Truck+Guidelines+Industry+Update&index=1&md5=acd013843d2b7219b23940d7e4044ae1,,March,2021,2021-03-01,0
,https://cts.businesswire.com/ct/CT?id=smartlink&url=https%3A%2F%2Fdiscover.jdpa.com%2Fhubfs%2FFiles%2FIndustry%2520Campaigns%2FValuation%2520Services%2F02.2021_Commercial%2520Truck%2520Guidelines.pdf&esheet=52381780&newsitemid=20210218006053&lan=en-US&anchor=February+2021+Commercial+Truck+Guidelines+Industry+Update&index=1&md5=4d60da057274268698fd158e1ad95aeb,,February,2021,2021-02-01,1
,https://cts.businesswire.com/ct/CT?id=smartlink&url=https%3A%2F%2Fdiscover.jdpa.com%2Fhubfs%2FFiles%2FIndustry%2520Campaigns%2FValuation%2520Services%2F01.2021_Commercial%2520Truck%2520Guidelines.pdf&esheet=52365521&newsitemid=20210121005693&lan=en-US&anchor=January+2021+Commercial+Truck+Guidelines+Industry+Update&index=1&md5=26fe151f26df5c13b3b32604963a7331,,January,2021,2021-01-01,0
,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/11.2020_Commercial%20Truck%20Guidelines.pdf,,November,2020,2020-11-01,1
,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/08.2020_Commercial%20Truck%20Guidelines.pdf,,August,2020,2020-08-01,0
,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/09.2020_Commercial%20Truck%20Guidelines.pdf,,September,2020,2020-09-01,0
,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/10.2020_Commercial%20Truck%20Guidelines.pdf,,October,2020,2020-10-01,0
,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/07.2020_Commercial%20Truck%20Guidelines.pdf,,July,2020,2020-07-01,0
,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/06.2020_Commercial%20Truck%20Guidelines.pdf,,June,2020,2020-06-01,0
,https://discover.jdpa.com/hubfs/Files/Industry%20Campaigns/Valuation%20Services/05.2020_Commercial%20Truck%20Guidelines.pdf,,May,2020,2020-05-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/04.2020_Commercial%20Truck%20Guidelines.pdf,,April,2020,2020-04-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/03.2020_Commercial%20Truck%20Guidelines.pdf?utm_campaign=2019%20VS%20Guidelines&utm_source=hs_email&utm_medium=email&utm_content=84803330&_hsenc=p2ANqtz-94RkhP541wxTorWYUVEBf3ablI9Vm_K4xCC8P9evWleBBIxexVWxVyR2y8E1cfg-pAhJ767u1C2eRb_pnT5pUURUmABw&_hsmi=84803330,,March,2020,2020-03-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/02.2020_Commercial%20Truck%20Guidelines.pdf,,February,2020,2020-02-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/01.2020_Commercial%20Truck%20Guidelines.pdf,,January,2020,2020-01-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/12.2019_Commercial%20Truck%20Guidelines.pdf,,December,2019,2019-12-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/11.2019_Commercial%20Truck%20Guidelines.pdf,,November,2019,2019-11-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/10.2019_Commercial%20Truck%20Guidelines.pdf?utm_campaign=2019%20VS%20Guidelines&utm_source=hs_email&utm_medium=email&_hsenc=p2ANqtz-8Jp5gKYtR_SRp7qqJB1tSq1Lvqoeoh7WTLvCtocjSV7MANIIX0VZBvj7FiqagM7DRPDWhv,,October,2019,2019-10-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/09.2019_Commercial%20Truck%20Guidelines.pdf,,September,2019,2019-09-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/08.2019_Commercial%20Truck%20Guidelines.pdf,,August,2019,2019-08-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/07.2019_Commercial%20Truck%20GuidelinesPDF.pdf,,July,2019,2019-07-01,0
,https://cdn2.hubspot.net/hubfs/4239280/06.2019_Commercial%20Truck%20GuidelinesPDF.pdf,,June,2019,2019-06-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/05.2019_Commercial%20Truck%20Guidelines.pdf,,May,2019,2019-05-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/04.2019_Commercial%20Truck%20Guidelines.pdf?utm_campaign=2019%20VS%20Guidelines&utm_source=hs_email&utm_medium=email&utm_content=71856034&_hsenc=p2ANqtz--P-umyMhJoat5JO3RscLih8c99aVBLToNx-MmEetfnFSeflK9l_3UIQPqj5yvLw_iccgAYDHJOzM-a9yXmcReU1M5Cwg&_hsmi=71856331,,April,2019,2019-04-01,0
,https://cdn2.hubspot.net/hubfs/4239280/03.2019_Commercial%20Truck%20Guidelines_CV.pdf,,March,2019,2019-03-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Valuation%20Services/02.2019_Commercial%20Truck%20Guidelines.pdf,,February,2019,2019-02-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Valuation%20Services/01.2019_Commercial%20Truck_Guidelines.pdf,,January,2019,2019-01-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/12.2018_Commercial%20Truck_Guidelines.pdf,,December,2018,2018-12-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/11.2018_Commercial%20Truck_Guidelines.pdf,,November,2018,2018-11-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/10.2018_Used%20Car%20and%20Light%20Truck_Guidelines.pdf,,October,2018,2018-10-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/09.2018_Commercial%20Truck_Guidelines.pdf,,September,2018,2018-09-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/08.2018_Commercial%20Truck_Guidelines.pdf,,August,2018,2018-08-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/07.2018_Commercial%20Truck_Guidelines.pdf,,July,2018,2018-07-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/06.2018_Commercial%20Truck_Guidelines.pdf,,June,2018,2018-06-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/05.2018_Commercial%20Truck_Guidelines.pdf,,May,2018,2018-05-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/04.2018_Commercial%20Truck_Guidelines.pdf,,April,2018,2018-04-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/03.2018_Commercial%20Truck_Guidelines.pdf,,March,2018,2018-03-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/02.2018_Commercial%20Truck_Guidelines.pdf,,February,2018,2018-02-01,0
,https://cdn2.hubspot.net/hubfs/4239280/Files/Industry%20Campaigns/Valuation%20Services/01.2018_Commercial%20Truck_Guidelines.pdf,,January,2018,2018-01-01,0
